Project ID,ARB ID,Cooperative/ Aggregate ID,Project Developer,Project Owner,Project Name,Offset Project Operator,Authorized Project Designee,Verification Body,Project Type,Status,ARB Project Status,CORSIA Eligible,Project Site Location,Project Site State,Project Site Country,Additional Certification(s),SDG Impact,Project Notes,Total Number of Offset Credits Registered ,Project Listed Date,Project Registered Date,Documents,Data,Project Website
CAR1957,CAFR6957,,Sierra Pacific Industries,Sierra Pacific Industries,2021 Fire Refo,Sierra Pacific Industries,None,,Reforestation - ARB Compliance,Listed,Proposed Project,No,"Shasta, Siskiyou, and Trinity Counties",CALIFORNIA,US,,,,,04/05/2024,,View,View,
CAR1460,NA,CARC1397,The Climate Trust,The Nature Conservancy,54 Ranch,,,,Avoided Grassland Conversion,Completed,Not ARB Eligible,No,"Mussellshell County, Montana",MONTANA,US,,,,,01/05/2021,,View,View,
CAR1458,CAOD6458,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas 1-2021,"Reclamation Technologies, Inc., dba A-Gas",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Registered,Active ARB Project,No,"Wood County, Bowling Green, Ohio",OHIO,US,,,,84267,11/20/2020,01/28/2021,View,View,www.agasamericas.com
CAR1560,CAOD6560,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas 1-2022,A-Gas US Inc,None,"GHD Services, Inc.",Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Proposed Project,No,"Wood County, Bowling Green, Ohio",OHIO,US,,,,59147,02/17/2022,05/27/2022,View,View,www.agasamericas.com
CAR1662,CAOD6662,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas 1-2023,A-Gas US Inc,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,No,"Wood County, Bowling Green, Ohio",OHIO,US,,,,70833,10/11/2022,04/20/2023,View,View,www.agasamericas.com
CAR1481,CAOD6481,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas 2-2021,"Reclamation Technologies, Inc., dba A-Gas",None,"GHD Services, Inc.",Ozone Depleting Substances - U.S. - ARB Compliance,Registered,Proposed Project,No,"Wood County, Bowling Green, Ohio",OHIO,US,,,,56964,03/16/2021,06/09/2021,View,View,www.agasamericas.com
CAR1578,CAOD6578,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas 2-2022,A-Gas US Inc,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,No,"Wood County, Bowling Green, Ohio",OHIO,US,,,,102599,04/14/2022,07/29/2022,View,View,www.agasamericas.com
CAR1295,CAOD5389,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas 2018-3,"Reclamation Technologies, Inc. dba A-Gas",none,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,Bowling Green,OHIO,US,,,,97831,01/31/2018,05/05/2018,View,View,www.agasamericas.com
CAR1296,CAOD5405,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas 2018-4,"Reclamation Technologies, Inc. dba A-Gas Americas",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,Bowling Green,OHIO,US,,,,110290,02/10/2018,07/18/2018,View,View,www.agasamericas.com
CAR1303,CAOD6303,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas 2018-5,"Reclamation Technologies, Inc.",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,"Bowling Green, Wood County",OHIO,US,,,,102700,06/28/2018,08/17/2018,View,View,
CAR1305,CAOD6305,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas 2018-7,Reclamation Technologies Inc.,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,"Bowling Green, Wood County",OHIO,US,,,,159218,06/28/2018,09/07/2018,View,View,
CAR1311,CAOD6311,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas 2018-8,"Reclamation Technologies, Inc. dba A-Gas",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,No,"Wood County, Bowling Green",OHIO,US,,,,128012,06/08/2018,10/31/2018,View,View,www.agasamericas.com
CAR1312,CAOD6312,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas 2018-9,"Reclamation Technologies, Inc. dba A-Gas",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,No,"Wood County, Bowling Green",OHIO,US,,,,93703,06/08/2018,10/31/2018,View,View,www.agasamericas.com
CAR1318,CAOD6318,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas 2019-1,A-Gas,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Registered,Active ARB Project,No,"Wood County, Bowling Green, Ohio",OHIO,US,,,,138241,09/20/2018,03/25/2019,View,View,www.agasamericas.com
CAR1323,CAOD6323,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas 2019-4,A-Gas,None,,Ozone Depleting Substances - U.S. - ARB Compliance,Listed,Inactive,No,"Wood County, Bowling Green, Ohio",OHIO,US,,,,,10/16/2018,,View,View,www.agasamericas.com
CAR1493,CAOD6493,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas 3-2021,"Reclamation Technologies, Inc., dba A-Gas",None,"GHD Services, Inc.",Ozone Depleting Substances - U.S. - ARB Compliance,Completed,,No,"Wood County, Bowling Green, Ohio",OHIO,US,,,,70708,06/18/2021,09/08/2021,View,View,www.agasamericas.com
CAR1413,CAOD6413,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas 4-2020,"Reclamation Technologies, Inc., dba A-Gas",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active Registry Project,No,"Wood County, Bowling Green, Ohio",OHIO,US,,,,87667,05/06/2020,08/20/2020,View,View,www.agasamericas.com
CAR1498,CAOD6498,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas 4-2021,"Reclamation Technologies, Inc., dba A-Gas",None,"GHD Services, Inc.",Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,No,"Wood County, Bowling Green, Ohio",OHIO,US,,,,60731,06/30/2021,01/21/2022,View,View,www.agasamericas.com
CAR1441,CAOD6441,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas 5-2020,"Reclamation Technologies, Inc., dba A-Gas",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Registered,Proposed Project,No,"Wood County, Bowling Green, Ohio",OHIO,US,,,,78211,07/15/2020,11/07/2020,View,View,www.agasamericas.com
CAR1171,CAOD5185,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-GAS Americas 2015-1,"Reclamation Technologies, Inc.",none,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,Bowling Green,OHIO,US,,,,134418,05/15/2015,10/05/2015,View,View,
CAR1236,CAOD5336,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas Americas 2016-2,"Reclamation Technologies, Inc. (dba A-Gas Americas, Inc.)",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,Bowling Green,OHIO,US,,,,181191,06/01/2016,08/23/2016,View,View,www.agasamericas.com
CAR1249,CAOD5298,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas Americas 2017-1,"Reclamation Technologies, Inc.",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,Bowling Green,OHIO,US,,,,141207,12/15/2016,03/09/2017,View,View,www.agas.com
CAR1252,CAOD5318,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas Americas 2017-2,"Reclamation Technologies, Inc.",none,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,Bowling Green,OHIO,US,,,,140916,02/14/2017,05/04/2017,View,View,www.agasamericas.com
CAR1254,CAOD5320,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas Americas 2017-3,"Reclamation Technologies, Inc.",none,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,No,Bowling Green,OHIO,US,,,,140709,03/04/2017,06/02/2017,View,View,www.agasamericas.com
CAR1263,CAOD5344,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas Americas 2017-4,"Reclamation Technologies, Inc. dba A-Gas Americas",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,Bowling Green,OHIO,US,,,,122129,05/16/2017,08/02/2017,View,View,www.agasamericas.com
CAR1268,CAOD5368,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas Americas 2017-6,"Reclamation Technologies, Inc. dba A-Gas Americas",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,Bowling Green,OHIO,US,,,,55404,07/26/2017,09/22/2017,View,View,www.agasamericas.com
CAR1270,CAOD5362,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas Americas 2017-8,"Reclamation Technologies, Inc. dba A-Gas Americas",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,Bowling Green,OHIO,US,,,,223464,07/26/2017,10/27/2017,View,View,www.agasamericas.com
CAR1286,CAOD5326,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas Americas 2018-1,"Reclamation Technologies, Inc dba A-Gas Americas",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,No,Bowling Green,OHIO,US,,,,154972,11/10/2017,02/06/2018,View,View,www.agasamericas.com
CAR1290,CAOD5380,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas Americas 2018-2,"Reclamation Technologies, Inc dba A-Gas Americas",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,No,Bowling Green,OHIO,US,,,,119844,12/15/2017,02/20/2018,View,View,www.agasamericas.com
CAR1240,CAOD5340,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas O'Hare,"Reclamation Technologies, Inc. (dba A-Gas Americas, Inc.)",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,Bowling Green,OHIO,US,,,,111348,09/26/2016,12/06/2016,View,View,www.agasamericas.com
CAR1011,CAOD5018,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-GAS RemTec 2013-1,"Reclamation Technologies, Inc. dba A-GAS RemTec",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,Bowling Green,OHIO,US,,,,93055,08/23/2013,05/22/2014,View,View,www.remtec.net
CAR1051,CAOD5039,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-GAS RemTec 2013-4,"Reclamation Technologies, Inc dba A-GAS RemTec",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,Bowling Green Ohio,OHIO,US,,,,191960,02/06/2014,12/10/2014,View,View,www.remtec.net
CAR1069,CAOD5062,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-GAS RemTec 2013-5,"Reclamation Technologies, Inc.",None,"TUV SUD America, Inc.",Ozone Depleting Substances - U.S. - ARB Compliance,Completed,,No,"Bowling Green, Ohio",OHIO,US,,,,129101,05/07/2014,05/05/2015,View,View,www.remtec.net
CAR1072,CAOD5067,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-GAS RemTec 2014-1,"Reclamation Technologies, Inc",None,"TUV SUD America, Inc.",Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,Bowling Green,OHIO,US,,,,129838,05/29/2014,10/02/2014,View,View,www.remtec.net
CAR1089,CAOD5079,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-GAS RemTec 2014-2,"Reclamation Technologies, Inc.",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,No,Bowling Green,OHIO,US,,,,107744,07/23/2014,05/20/2015,View,View,www.remtec.net
CAR1093,CAOD5092,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-GAS RemTec 2014-3,"Reclamation Technologies, Inc.",None,SCS Engineers,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,,No,Bowling Green,OHIO,US,,,,148331,09/03/2014,11/05/2015,View,View,www.remtec.net
CAR1179,CAOD5201,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-GAS RemTec 2015-2,"Reclamation Technologies, Inc.",none,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,,No,Bowling Green,OHIO,US,,,,135577,09/01/2015,01/30/2016,View,View,www.agasamericas.com
CAR1412,CAOD6412,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,A-Gas UCSD1,"Reclamation Technologies, Inc., dba A-Gas",None,,Ozone Depleting Substances - U.S. - ARB Compliance,Registered,Proposed Project,No,"Wood County, Bowling Green, Ohio",OHIO,US,,,,24304,04/27/2020,08/18/2020,View,View,www.agasamericas.com
CAR1065,CALS5071,,"California Bioenergy, LLC","California Bioenergy, LLC",ABEC New Hope LLC,California Bioenergy LLC,None,,Livestock - ARB Compliance,Completed,Terminated,No,"9547 New Hope Road, Galt, CA 95632",CALIFORNIA,US,,,"Terminated due to project developer request, 3/31/2020",4978,06/24/2014,04/06/2020,View,View,www.calbioenergy.com
CAR1298,CALS5398,,"Camco Offsets I, LLC","Camco Offsets I, LLC",Adirondack Farms,"Adirondack Farms, LLC","Camco Offsets I, LLC",,Livestock - ARB Compliance,Registered,Active ARB Project,No,"Peru, NY",NEW YORK,US,,,,77563,03/27/2018,07/30/2019,View,View,
CAR1641,NA,CARC1791,AgriCapture Inc,AgriCapture Inc,AgriCapture Grasslands Project 1,,,,Avoided Grassland Conversion,Registered,Not ARB Eligible,No,"Bailey County, Texas",TEXAS,US,,,,86,09/27/2022,05/12/2023,View,View,
CAR1513,NA,,AgriCapture Inc,AgriCapture Inc,AgriCapture Soil Enrichment #1,,,,Soil Enrichment,Registered,Not ARB Eligible,Yes,"AR, MS, LA, MO",ARKANSAS,US,,"2. Zero Hunger;3. Good Health and Well-Being;6. Clean Water and Sanitation;8. Decent Work and Economic Growth;9. Industry, Innovation and Infrastructure;12. Responsible Consumption and Production;13. Climate Action;14. Life Below Water;15. Life on Land",,37647,09/07/2021,10/21/2022,View,View,www.agricapture.com
CAR1187,CAFR5217,,"Mendocino Redwood Company, LLC","Mendocino Redwood Company, LLC",Albion,Mendocino Redwood Company,None,,Improved Forest Management - ARB Compliance,Completed,Inactive,No,Mendocino County,CALIFORNIA,US,,,,,10/21/2015,,View,View,
CAR807,NA,,"Alcoa Gas Producers, LLC","Alcoa Gas Producers, LLC",Alcoa Landfill Gas Destruction Project,,,,Landfill Gas Capture/Combustion,Registered,Not ARB Eligible,No,Blount County; Friendsville,TENNESSEE,US,,,,234874,01/31/2018,02/24/2012,View,View,
CAR655,NA,,Northeast Wilderness Trust,Northeast Wilderness Trust,Alder Stream Preserve,,,,Improved Forest Management,Transitioned,Not ARB Eligible,No,"Piscataquis County, Maine",MAINE,US,,,,36596,12/19/2013,03/02/2015,View,View,www.forestcarbonpartners.com
CAR1364,NA,CARC1519,"ASOCIACIÓN DE SILVICULTORES DE LA REGIÓN FORESTAL PACHUCA Y TULANCINGO, A.C.",Ejido Alhuajoyucan,Alhuajoyucan - ASRTulancingo,,,"Asociacion de Normalizacion y Certificacion, S.A. de C.V.",Forestry - MX,Registered,Not ARB Eligible,No,Cuatepec; Alhuajoyucan,HIDALGO,MX,,,,1522,06/24/2019,02/25/2021,View,View,
CAR1001,NA,,"Camco International Group, Inc.","Camco International Group, Inc.",Alliance Dairies,"Camco International Group, Inc.",None,,Livestock Gas Capture/Combustion,Completed,Not ARB Eligible,No,"Gilchrist County; Trenton, FL",FLORIDA,US,,,,9092,10/16/2013,04/09/2015,View,View,
CAR1582,NA,,"3Degrees Group, Inc","3Degrees Group, Inc",Alliance Dairy,"3Degrees Group, Inc.",None,,Livestock Gas Capture/Combustion,Registered,Not ARB Eligible,No,"Trenton, FL",FLORIDA,US,,,,33665,05/17/2022,10/17/2022,View,View,
CAR497,NA,,"Mattamuskeet Ventures I,  LLC","Mattamuskeet Ventures I,  LLC",Alligator River Avoided Conversion,,None,"TUV SUD America, Inc.",Avoided Conversion,Registered,Not ARB Eligible,No,Hyde County,NORTH CAROLINA,US,,,,681964,09/29/2009,05/09/2011,View,View,
CAR459,NA,,"Montauk Energy Capital, LLC","Montauk Energy Capital, LLC",American Environmental Landfill (AEL),,,"TUV SUD America, Inc.",Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,No,Sand Springs (Osage County) near Tulsa,OKLAHOMA,US,,,"Project moved to Completed for exceeding NMOC Threshold: GCCS installed by May 8, 2012",177468,06/16/2009,03/22/2010,View,View,www.montaukenergy.com
CAR1901,CAMM6901,,American Soda LLC,American Soda LLC,American Soda LLC Ventilation Air Methane Project,American Soda LLC,None,,Mine Methane Capture - ARB Compliance,Listed,Proposed Project,No,Sweetwater County,WYOMING,US,,,,,12/11/2023,,View,View,
CAR1105,CAMM5178,,American Soda LLC,American Soda LLC,American Soda LLC Waste Mine Methane Project,American Soda LLC,none,,Mine Methane Capture - ARB Compliance,Registered,Proposed Renewal,No,Sweetwater County,WYOMING,US,,,,2341211,02/25/2015,06/01/2016,View,View,
CAR1473,NA,CARC1482,Bank of Montreal,Bank of Montreal,Anderson Grassland Project,,,,Canada Grassland,Listed,Not ARB Eligible,No,Beaver County,ALBERTA,CA,,,,,08/23/2024,,View,View,
CAR888,NA,,Angelina County,Angelina County,Angelina County Landfill,,,"Agri-Waste Technology, Inc.",Landfill Gas Capture/Combustion,Registered,Not ARB Eligible,No,Lufkin,TEXAS,US,,,,325155,10/26/2011,01/11/2014,View,View,
CAR517,NA,,"Anew Environmental, LLC","Anew Environmental, LLC",Anson County Landfill,,,SCS Global Services,Landfill Gas Capture/Combustion,Registered,Not ARB Eligible,No,Polkton,NORTH CAROLINA,US,,,,329674,06/17/2020,01/21/2011,View,View,
CAR1808,NA,,"Native, a Public Benefit Corporation","Native, a Public Benefit Corporation",AR-Joy Farm Dairy Digester,"AR-Joy Farms, LLC","Native, a Public Benefit Corporation","TUV SUD America, Inc.",Livestock Gas Capture/Combustion,Listed,Not ARB Eligible,No,Cochranville,PENNSYLVANIA,US,,,This is CAR1324 (ARB) and is reporting as a voluntary project for one reporting period.,,08/09/2023,,View,View,
CAR1324,CALS6324,,"Native, a Public Benefit Corporation","Native, a Public Benefit Corporation",AR-Joy Farm Dairy Digester,"AR-Joy Farms, LLC","Native, a Public Benefit Corporation",,Livestock - ARB Compliance,Registered,Active ARB Project,No,Cochranville,PENNSYLVANIA,US,,,,7119,01/04/2019,01/07/2022,View,View,
CAR935,NA,,City of Arcata,City of Arcata,Arcata City Forest Barnum Tract,,,,Improved Forest Management,Registered,Not ARB Eligible,No,Humboldt County,CALIFORNIA,US,,,,48689,01/14/2012,09/07/2012,View,View,www.cityofarcata.org
CAR575,NA,,City of Arcata,City of Arcata,Arcata Sunnybrae Tract,,,,Improved Forest Management,Registered,Not ARB Eligible,No,Humboldt County,CALIFORNIA,US,,,,46787,12/21/2009,09/07/2012,View,View,www.cityofarcata.org
CAR1365,NA,CARC1519,"ASOCIACIÓN DE SILVICULTORES DE LA REGIÓN FORESTAL PACHUCA Y TULANCINGO, A.C.",Conjunto Predial Arturo Gomez Canales,Arturo Gomez Canales - ASRTulancingo,,,"Asociacion de Normalizacion y Certificacion, S.A. de C.V.",Forestry - MX,Listed,Not ARB Eligible,No,Acaxochitlan,HIDALGO,MX,,,,,06/24/2019,,View,View,
CAR1094,CAFR5095,,Nisqually Land Trust,Nisqually Land Trust,Ashford III,"Nisqually Land Trust, Joe Kane",None,,Improved Forest Management - ARB Compliance,Registered,Active ARB Project,No,Ashford,WASHINGTON,US,,,,61139,09/23/2014,10/22/2015,View,View,
CAR881,NA,,"Anew Environmental, LLC","Anew Environmental, LLC",Athens-Clarke County Landfill Project,,,"TUV SUD America, Inc.",Landfill Gas Capture/Combustion,Registered,Not ARB Eligible,No,"Athens-Clarke County, Georgia",GEORGIA,US,,,,209167,07/21/2011,02/12/2014,View,View,N/A
CAR607,NA,,"Aurora Ridge Dairy, LLC","Aurora Ridge Dairy, LLC",Aurora Ridge,,,,Livestock Gas Capture/Combustion,Completed,Not ARB Eligible,No,Cayuga County,NEW YORK,US,,,,42642,05/06/2010,07/17/2012,View,View,
CAR1152,CALS5152,,"Aurora Ridge Dairy, LLC","Aurora Ridge Dairy, LLC",Aurora Ridge Dairy,"Aurora Ridge Dairy, LLC","Ag Methane Advisors, LLC","Agri-Waste Technology, Inc.",Livestock - ARB Compliance,Registered,Active ARB Project,No,Cayuga County,NEW YORK,US,,,,118818,04/26/2023,11/09/2016,View,View,
CAR1110,CAFR5110,,Sierra Pacific Industries,Sierra Pacific Industries,Backbone,Sierra Pacific Industries,None,,Improved Forest Management - ARB Compliance,Listed,Active ARB Project,No,Shasta County - East of Redding,CALIFORNIA,US,,,,220355,01/21/2015,,View,View,
CAR1469,NA,CARC1482,Bank of Montreal,Bank of Montreal,Balog Grasslands Project,,,,Canada Grassland,Listed,Not ARB Eligible,No,Forty Mile County #8,ALBERTA,CA,,,,,08/23/2024,,View,View,
CAR814,NA,,"Montauk Energy Capital, LLC","Montauk Energy Capital, LLC",Bartow Landfill,,,"TUV SUD America, Inc.",Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,No,"Bartow County, near Atlanta, Georgia",GEORGIA,US,,,,39849,07/07/2011,10/12/2011,View,View,www.montaukenergy.com
CAR1783,CAFR6783,,Sierra Pacific Industries,Sierra Pacific Industries,Bear Refo,Sierra Pacific Industries,None,SCS Global Services,Reforestation - ARB Compliance,Listed,Proposed Project,No,Butte and Plumas Counties,CALIFORNIA,US,,,,,04/17/2023,,View,View,
CAR574,NA,,"Anew Environmental, LLC","Anew Environmental, LLC",Berkeley County Landfill Gas Project,,,,Landfill Gas Capture/Combustion,Registered,Not ARB Eligible,No,Berkeley County,SOUTH CAROLINA,US,,,,176639,03/11/2010,12/14/2010,View,View,
CAR1276,CALS5376,,"Ag Methane Advisors, LLC","Ag Methane Advisors, LLC",Berkshire Cow Power,"Pleasant Valley Farms of Berkshire, LLC","Ag Methane Advisors, LLC",,Livestock - ARB Compliance,Listed,Proposed Project,No,Berkshire,VERMONT,US,,,,,09/27/2017,,View,View,
CAR411,NA,,"3Degrees Group, Inc","3Degrees Group, Inc","Beulah Municipal Landfill (Dorchester County, MD)",,,,Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,No,Hurlock,MARYLAND,US,,,,121799,11/06/2008,06/21/2010,View,View,
CAR790,NA,,"Bi-County Gas Producers, LLC","Bi-County Gas Producers, LLC",Bi-County Landfill Gas Destruction Project,,,SCS Global Services,Landfill Gas Capture/Combustion,Registered,Not ARB Eligible,No,Montgomery County; Woodlawn,TENNESSEE,US,,,,913283,12/16/2010,03/01/2012,View,View,www.fierainfrastructure.com
CAR1547,NA,CARC1534,Bioforestal Innovación Sustentable S.C.,Los Bienes Comunales de San Pedro Ecatzingo,Bienes Comunales San Pedro Ecatzingo,,,"TUV SUD America, Inc.",Forestry - MX,Registered,Not ARB Eligible,Yes,"Ecatzingo de Hidalgo, Estado de México, México",STATE OF MÉXICO,MX,,1. No Poverty;2. Zero Hunger;3. Good Health and Well-Being;6. Clean Water and Sanitation;8. Decent Work and Economic Growth;10. Reduced Inequalities;11. Sustainable Cities and Communities;13. Climate Action;15. Life on Land,,7515,01/31/2022,11/28/2022,View,View,
CAR1546,NA,CARC1534,Bioforestal Innovación Sustentable S.C.,Los Bienes Comunales de Santa Isabel Chalma,Bienes Comunales Santa Isabel Chalma,,,"TUV SUD America, Inc.",Forestry - MX,Registered,Not ARB Eligible,Yes,"Amecameca, Estado de México, México",STATE OF MÉXICO,MX,,1. No Poverty;2. Zero Hunger;3. Good Health and Well-Being;6. Clean Water and Sanitation;8. Decent Work and Economic Growth;10. Reduced Inequalities;11. Sustainable Cities and Communities;13. Climate Action;15. Life on Land,,3425,01/31/2022,11/29/2022,View,View,
CAR1553,NA,CARC1534,Bioforestal Innovación Sustentable S.C.,Los Bienes Comunales de Santiago Cuautenco,Bienes Comunales Santiago Cuautenco,,,"TUV SUD America, Inc.",Forestry - MX,Registered,Not ARB Eligible,Yes,"Amecameca, Estado de México, México",STATE OF MÉXICO,MX,,1. No Poverty;2. Zero Hunger;3. Good Health and Well-Being;6. Clean Water and Sanitation;8. Decent Work and Economic Growth;10. Reduced Inequalities;11. Sustainable Cities and Communities;13. Climate Action;15. Life on Land,,6012,01/31/2022,11/28/2022,View,View,
CAR1090,CAFR5085,,Sierra Pacific Industries,Sierra Pacific Industries,Big Bend,Sierra Pacific Industries,None,SCS Global Services,Improved Forest Management - ARB Compliance,Listed,Proposed Project,No,Shasta County,CALIFORNIA,US,,,,,08/06/2014,,View,View,
CAR1380,CAFR6380,,Sierra Pacific Industries,Sierra Pacific Industries,Big Bend 2019,Sierra Pacific Industries,None,,Improved Forest Management - ARB Compliance,Completed,,No,Shasta County,CALIFORNIA,US,,,"combined CAR1378, CAR1379, CAR1380 into CAR1381",,05/12/2021,,View,View,
CAR1402,CAFR6402,,Sierra Pacific Industries,Sierra Pacific Industries,Big McCarty,Sierra Pacific Industries,None,,Improved Forest Management - ARB Compliance,Completed,,No,Tehama County,CALIFORNIA,US,,,Combined into CAR1408 moving forward,,08/17/2020,,View,View,
CAR408,NA,,The Conservation Fund,The Conservation Fund,Big River / Salmon Creek Forests,,,,Conservation-Based Forest Management,Transitioned,Not ARB Eligible,No,"Mendocino County, CA",CALIFORNIA,US,,,,2413157,10/30/2008,02/25/2009,View,View,
CAR1100,CAFR5106,,The Conservation Fund,The Conservation Fund,Big River / Salmon Creek Forests - ARB,The Conservation Fund,None,"TUV SUD America, Inc.",Improved Forest Management - ARB Compliance,Registered,Active ARB Project,No,"Mendocino County, CA",CALIFORNIA,US,,,,582975,01/08/2015,04/11/2017,View,View,www.conservationfund.org
CAR769,NA,,"Big Run Power Producers, LLC","Big Run Power Producers, LLC",Big Run Landfill Gas Destruction Project,,,,Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,No,Boyd County; Ashland,KENTUCKY,US,,,,138492,07/01/2010,10/08/2011,View,View,
CAR1092,CAFR5087,,Sierra Pacific Industries,Sierra Pacific Industries,Big Valley,Sierra Pacific Industries,None,SCS Global Services,Improved Forest Management - ARB Compliance,Registered,Active Registry Project,No,Lassen and Modoc Counties California,CALIFORNIA,US,,,,52124,08/06/2014,03/31/2017,View,View,
CAR824,NA,,Montana-Dakota Utilities Co.,Montana-Dakota Utilities Co.,Billings Regional Landfill,,,,Landfill Gas Capture/Combustion,Completed,Not ARB Eligible,No,"Billings, MT",MONTANA,US,,,,173207,05/02/2011,12/10/2013,View,View,
CAR1858,NA,,Bioforestal Innovación Sustentable S.C.,N.C.P.E. Otilio Montaño,Biorodal: Carbono Forestal Otilio Montaño,,,GREEN CERTIFICACIONES E INSPECCIONES S.C.,Forestry - MX,Listed,Not ARB Eligible,No,"Bacalar, Quintana Roo",QUINTANA ROO,MX,,,,,10/06/2023,,View,View,
CAR403,NA,,"Anew Environmental, LLC","Anew Environmental, LLC",Black Warrior Solid Waste Facility,,,"TUV SUD America, Inc.",Landfill Gas Capture/Combustion,Registered,Not ARB Eligible,No,Coker,ALABAMA,US,,,,379050,11/06/2008,07/28/2009,View,View,
CAR997,CALS5014,,"3Degrees Group, Inc","3Degrees Group, Inc",Blue Mountain Biogas,Phibro Americas LLC,"3Degrees Group, Inc",,Livestock - ARB Compliance,Completed,,No,"Beaver County, Utah",UTAH,US,,,,199991,08/26/2013,06/12/2014,View,View,
